runparse.pl filename startdate enddate
startdate 19700000
enddate 21000000
19910331 | 1:11:57 |  15.5 | 4:38 |     |     |     Asics| loop at home  
19910401 | 1:39:26 |  21.0 | 4:44 |     |     |     Asics| home plus loop at home  
19910402 | 0:42:59 |  10.0 | 4:17 |     |     |     Asics| cork,carling,extra loop.  
19910403 | 1:02:39 |  14.5 | 4:19 |     |     |     Asics| corkstown to eagleson,back thru front  
19910404 | 0:38:17 |   7.0 | 5:28 |     |     |     Asics| intervals 10x.5k 1:40 pace + 2k  
19910405 | 1:40:22 |  21.0 | 4:46 |     |     |     Asics| home plus loop at home  
19910407 | 0:55:43 |  12.5 | 4:27 |     |     |     Asics| abbeyhill,eagleson,teron  
19910408 | 0:32:10 |   7.0 | 4:35 |     |     |     Asics| grandview + 2 loops TOTAL 1063.0  
Total for Asics is 1068.2
NEW ride1
19910410 | 1:33:00 |  20.0 | 4:39 |     |     |     ride1| lincoln fields to lebreton flats & back  
19910411 | 1:23:15 |  17.5 | 4:45 |     |     |     ride1| loop at home  
19910412 | 0:42:25 |  10.0 | 4:14 |     |     |     ride1| at home  
19910414 | 2:15:15 |  27.0 | 5:00 |     |     |     ride1| fernbank ashton  
19910416 | 0:40:18 |   9.5 | 4:14 |     |     |     ride1| mood,path carling,park,loop,front  
19910417 | 1:01:20 |  13.0 | 4:43 |     |     |     ride1| equestrian park and corkstown  
19910418 | 0:41:02 |   9.5 | 4:19 |     |     |     ride1| mood,path carling,park,loop,front  
19910420 | 2:53:59 |  36.0 | 4:49 |     |     |     ride1| marathon route to woodroffe  
19910408 | 0:30:19 |   7.0 | 4:19 |     |     |     ride1| grandview + 2 loops  
19910423 | 1:01:17 |  13.0 | 4:42 |     |     |     ride1| equestrian park and corkstown  
19910424 | 0:39:30 |   9.5 | 4:09 |     |     |     ride1| mood,path carling,park,loop,front  
19910425 | 1:02:59 |  14.5 | 4:20 |     |     |     ride1| equestrian park and corkstown+  
19910427 | 2:15:37 |  30.0 | 4:31 |     |     |     ride1| marathon route  
19910429 | 0:37:59 |   9.5 | 3:59 |     |     |     ride1| mood,path carling,park,loop,front  
19910430 | 0:47:30 |  11.0 | 4:19 |     |     |     ride1| loop at home.  
19910501 | 0:41:41 |   9.5 | 4:23 |     |     |     ride1| mood,path carling,park,loop,front  
19910503 | 0:29:34 |   7.0 | 4:13 |     |     |     ride1| grandview + 2 loops  
19910504 | 1:34:03 |  21.0 | 4:28 |     |     |     ride1| last half of marathon  
19910507 | 0:42:34 |   9.5 | 4:28 |     |     |     ride1| mood,path carling,park,loop,front  
19910508 | 0:28:54 |   6.0 | 4:49 |     |     |     ride1| grandview crescent  
19910509 | 0:14:35 |   3.5 | 4:10 |     |     |     ride1| two loops  
19910511 | 0:09:11 |   2.0 | 4:35 |     |     |     ride1| at home  
19910512 |4:39:34  |  42.2 | 6:37 |     |     |     ride1| RACE - NC Marathon  
19910516 | 0:31:34 |   7.0 | 4:30 |     |     |     ride1| grandview + 2 loops  
19910521 | 0:39:56 |   9.5 | 4:12 |     |     |     ride1| mood,path carling,park,loop,front  
19910522 | 0:30:55 |   7.3 | 4:14 |     |     |     ride1| grandview through bush + 2 loops  
19910523 | 0:31:39 |   7.5 | 4:13 |     |     |     ride1| up carling to ahpark and back  
19910524 | 0:24:57 |   5.5 | 4:32 |     |     |     ride1| grandview  
19910525 | 0:38:46 |   8.5 | 4:33 |     |     |     ride1| kingston  
19910527 | 0:40:44 |   9.5 | 4:17 |     |     |     ride1| mood,path carling,park,loop,front  
19910603 | 0:39:59 |  10.0 | 3:59 |     |     |     ride1| mood,path behind equestrian park  
19910604 | 0:28:28 |   7.0 | 4:04 |     |     |     ride1| grandview + 2 loops  
19910606 | 0:38:37 |   9.5 | 4:03 |     |     |     ride1| mood,path carling,park,loop,front  
19910607 | 0:30:09 |   7.3 | 4:07 |     |     |     ride1| grandview through bush + 2 loops  
19910610 | 0:40:15 |   9.5 | 4:14 |     |     |     ride1| moodie,path carling,ah,carling front  
