----------------------------------------------------------------------------------------------------------------------
|1991       | Monday       | Tuesday      | Wednesday    | Thursday     | Friday       | Saturday     | Sunday       |
|DE 25 DE 31|              |              |              |              |XC 14k p8 pink|              |hockey        |
|           |              |              |              |              |              |              |XC loop 20k   |
|           |              |hockey 2hrs   |hockey        |              |              |              |    1:34:53   |
|---2006----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|


1991 Totals     Run - 2058   Bike - 1473  Swim - 117
1992 Totals     Run - 2509   Bike - 2656  Swim - 308.95
1993 Totals     Run - 1937   Bike - 2542  Swim - 256.8
1994 Totals     Run - 1477   Bike - 2255  Swim - 173.6
1995 Totals     Run - 1491   Bike - 2074  Swim - 214.4
1996 Totals     Run - 1832   Bike - 2353  Swim - 179.9
1997 Totals     Run - 2345   Bike - 2287  Swim - 41.6
1998 Totals     Run - 1773   Bike - 1701  Swim - 18.7
1999 Totals     Run - 1783   Bike - 1297  Swim - 14.1
2000 Totals     Run - 1761   Bike - 491   Swim - 1      Karate - 125
2001 Totals     Run - 1654   Bike - 2528  Swim - 27     Karate - 113
2002 Totals     Run - 1467   Bike - 870   Swim - 3      Karate - 102
2003 Totals     Run - 1656   Bike - 497   Swim - 0      Karate - 62
2004 Totals     Run -  922   Bike - 1533  Swim - 5
2005 Totals     Run - 1050   Bike - 2199  Swim - 92     XC - 1
2006 Totals     Run -  833   Bike - 799   Swim -        XC - 12






|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 1  JA  7|              |              | hockey       |              |              |              |hockey        |
|           |              |              |              |              |              |              |              |
|9.3        |9.3   43:25   |              |              |              |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 8  JA 14|              |Wisdom tooth  | hockey       |              |              | XC 10        |hockey        |
|5.3        |2.3 s         |              |3             |              |              |              |              |
|17 26      | 48:21      9 |              |              |39:58        8|              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 15 JA 21|              |              | hockey       |              |              |              |hockey        |
|           |              |              |              | XC p3 to pink|              |              |              |
| 9 35      |              |48:34       9 |              |              |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 22 JA 28|              |              | hockey       |              |              |XC p3 to      | hockey       |
|           |2             |              |              |              |              |  champlain   |XC jock 11    |
|7.5 43     |41:34     7.5 |              |              |              |              | 2:40   36k   |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 29 FE  4|              |              |              |              |              |canal         |hockey        |
|           |2             |              |3             |              |  18k  1:30   | hockey home  | XC p7 to     |
|9 51       |              |47:41     9.2 |              |              |XC p3 to mulvi|              |  champ  14?  |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE 5 FE 11 |              |              |hockey        |              |              |              |              |
|           |              |              |3             |              | XC p10to huron              |              |
|15 66      |              |41:00    7.5  |              |39:23     7.5 |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE 12 FE 18| mexico       |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|40 106     |47:00       8 |43:00       8 |46:00       8 |45:00        8|              |47:00       8 |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE 19 FE 25|              |              |hockey        |              |              |XC on Jock    |hockey        |
|           |              |              |              |              |              |              |XC p3 champ   |
|21 127     |              |              |              |46:09     9   |63:19     12  |              | 36k  2:32    |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE 26 MA  4|              |              |hockey        |              |              |              |hockey        |
|           |              |              |              |              |              |XC 18 Gats    |XC p3-p8 28   |
|21         |              |40:40       8 |              |38:59      8  |              |              |35 5          |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA 5  MA 11|              |              |hockey        |              |              |XC Jock 8k    |hockey        |
|           |              |              |              |              |              |              |              |
| 13        |              | 30     5     |              |41:04      8  |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA12  MA 18|XC cottage    |              |hockey        |     184      |              |              |XC P3 - making|
|           |              |              |2.8           |              |              |              |       19k    |
| 25        |              |45:10     9   |              |45:24      9  |              |42:00   7     |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA19  MA 25|       188    |              |hockey        |     185      |              |              |              |
|           |              |              |              |              |              |              |              |
|36         |39:43       8 |              |              |39:44       8 |52:26      10 |              |60       10   |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA26  AP  1|              |              | hockey       |              |              |              |              |
|           |2             |              |3             |              |              |              |              |
|16.7       |              |38:00      7.5|              |45:02    9.2  |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP 2  AP  8|              |              |hockey        |              |              |              |              |
|           |              |              |              |              |              |              |              |
|26.4       |44:55      9.2|42:09      9.2|              |              |44           8|              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP 9  AP 15|              |              |  hockey      |              |              |              |              |
|           |              |              |              |              |              |              |              |
|37         |40:20      9.2|45:55      9.2|              |              |44:18     9.2 |45:25     9.3 |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP16  AP 22|              |              |              |              |              |              |52.5          |
|52.5       |              |              |              |              |              |              |              |
|27.6       |              |              |43:57     9.2 |41:00     9.2 |43:06     9.2 |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP23  AP 29|              |              |              |              |              |              |              |
|72 125     |18+18         |18+18         |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|33.9       |              |              |43:01     9.2 |48:11     9.5 |42:13     9.2 |              |            6 |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP30  MY 6 |              |              |              | 187          |              | Canoe with the boys         |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|43.8       |43:45     9.2 |              |              |46:05     9.2 |45:40     9.2 |51:45      9  |38:49     7.5 |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 7  MY 13|              |              |              | 184          |              |              |              |
|           |              |              |              |              |              |              |              |
|72 197     |              |18+18         |              |              |18+18         |              |              |
|36.8       |44:47     9.2 |              |43:53     9.2 |43:43     9.2 |43:21     9.2 |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 7  MY 13|              |              |Fun Run       |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|23.4       |41:32     9.2 |              |20:12      5  |              |43:26     9.2 |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 7  MY 13|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|36 233     |              |              |              |18+18         |              |              |              |
|38.7       |53:22     10  | 57:26    11.5|38:26 8.2     |              |              |43:00    9    |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 7  MY 13|              |         184  |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|108 341    |18+18         |18+18         |              |18+18         |18+18         |              |              |
|36.8       |              |43:16   9.2   |44:12     9.2 |44:57  9.2    |47:15      9.2|              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|           |              |              |              |Camp Fortune  |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|30.7       |              |              |54:03    11   |              |44:40      9.2|              |51:40   10.5  |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|108 449    |              |18+18         |18+18         |18+18         |              |              |              |
|48         |8.2   40:54   |45:15     9.2 |              |45:00    9.2  |              |12       61:54|51:42      10 |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|37.4       |9.2   43:20   |9.2 44:39     |              |41:32       8 |              |55:07      11 |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|           |              |              |              |              |              |              |              |
|           |              |              |Countdown     |              |              |              |              |
|           |              |              |              |              |              |              |              |
|42.6       |9.2     45:44 |              |21:49      5  |46:27    9.2  |43:23    9.2  |49:17    10   |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|33 482     |33 G          |              |              |              |              |              |              |
|37.9       |              |9.2 43:58     |10.5  49:37   |9.2  41:55    |              |              |9  50:45      |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL 9  JL 15|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|36 518     |              |18+18         |              |              |              |              |              |
|36.8       | 9.2 44:53    |46:05 9.2     |              |44:54  9.2    |43:50  9.2    |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL 16 JL 22|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|95 613     |23   G        |18+18         |18+18         |              |              |              |              |
|           |48:59 9.2     |44:05 9.2     |47:00 9.2     | 37:06 7      |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|40         |57:44 10      |              |47:56 10      |              |52:47 10      | 48:37  10    |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL 30 AU 5 |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |44:54 9.2     |47:01    9.2  |              |              |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU  6 AU 12|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|63         |54:00 10      |80:20 16      |66:06 12      |              |48:12 9       |80:16 16      |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 13 AU 19|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|42         |56:39 10      |              |62:52  12     |              |51:24   10    |              |48:17   10    |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 20 AU 26|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|52         |48:30 9.2     |40:00 8       |41:40 9.2     |53:17 10.5    |              |              | 1:14:25 15   |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 27  SE 2|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|37         |43:39   9.2   |44:08 9.2     |              |41:35  9.2 123|              |49:57  9      |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|58.4       |1:14:02 15    | 47:15   10   |43:53  9.2 123|              |45:47 9.2  123|1:17:29    15 |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|           |Back sore     |              |              |Physio        |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
| 36.6      |45:26  9.2    |              |44:21 9.2     |41:29  9      |45:49 9.2 123 |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE 17 SE 23|              |              |              |              |              |              |              |
|           |              |              |Fun Run       |              |              |              |              |
|           |              |              |              |              |              |              |              |
| 35.4      |46:08    9.2  |              |19:59 5       |              |58:39  11.2   |52:28    10   |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE 24  SE30|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|28         |45:35    9.2  |              |123  10       |              |44:55   9.2   |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC 1    OC7|              |              |              |              |              |              | Shuffle      |
| 31        |44:15   9.5   |6x.5 1:47  6  |5    24:38    |              |5  24:21      |              |20:11  5      |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC 8  OC 14|              |              | Hockey       |              |              |              |Hockey        |
|           |              |42:34  9.2    |              |              |45:51  9.2    |51:11 10      |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC 15 OC 21|              |              |Hockey        |              |              |              |Hockey        |
|           |47:29 9       |              |              |              |12  63:28     |39:18 8       |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC 22 OC 28|              |              |Hockey        |              |              |              |Hockey        |
|           |36:33 8       |              |              |48:28 9.2     |44:13  9.2    |              |52:36  10     |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC 29   NO4|              |              |Hockey        |              |              |              |Hockey        |
|           |44:31         |              |              |              |46:03 9.4     |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 5 NO 11 |              |              |Hockey        |              |              |              | Hockey       |
|           |44:36   9.2   |48:02 9.5     |              |44:06   9.2   |42:54   9.2   |              |35:51 7       |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 12  NO18|              |              |Hockey        |              |              |              |Hockey        |
|           |              |44:46         |              |              |45:28   9.2   |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 19  NO25|              |              |Hockey        |              |              | XC GAts      |Hockey        |
|           |              |              |              |              |              |P3 to Champ 14|              |
|           |              |43:56 9       |              |              |              | 80 min       |8 41:56       |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 26 DE 2 |              |              |Hockey        |              |              |              |              |
|           |              |              |              |38:16   8     |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 3 DE 9  |              |              |Hockey        |              |              |XC gats       |Hockey        |
|           |              |              |              |              |              |p8 to p9      |              |
|           |              |              |              |              |              |p8 to peng 11 |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 10 DE 16|              |              |Hockey        |              |              |              | Hockey       |
|           |38:25  7.5    |49:03  9      |              |              |39:27 8       |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 17 DE 23|              |              |              |              |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 24 DE 30|              |              |              |              |              |              |              |
|           |              |9.3 48:04     |              |              |8 41:55       |              |              |
|           |              |              |              |              |              |              |              |
|---2007----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|


1991 Totals     Run - 2058   Bike - 1473  Swim - 117
1992 Totals     Run - 2509   Bike - 2656  Swim - 308.95
1993 Totals     Run - 1937   Bike - 2542  Swim - 256.8
1994 Totals     Run - 1477   Bike - 2255  Swim - 173.6
1995 Totals     Run - 1491   Bike - 2074  Swim - 214.4
1996 Totals     Run - 1832   Bike - 2353  Swim - 179.9
1997 Totals     Run - 2345   Bike - 2287  Swim - 41.6
1998 Totals     Run - 1773   Bike - 1701  Swim - 18.7
1999 Totals     Run - 1783   Bike - 1297  Swim - 14.1
2000 Totals     Run - 1761   Bike - 491   Swim - 1      Karate - 125
2001 Totals     Run - 1654   Bike - 2528  Swim - 27     Karate - 113
2002 Totals     Run - 1467   Bike - 870   Swim - 3      Karate - 102
2003 Totals     Run - 1656   Bike - 497   Swim - 0      Karate - 62
2004 Totals     Run -  922   Bike - 1533  Swim - 5
2005 Totals     Run - 1050   Bike - 2199  Swim - 92
2006 Totals     Run -  833   Bike - 799   Swim -        XC - 12
2007 Totals     Run - 1476   Bike - 613   Swim -        XC - 16






|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 31 JA  6|              |              |hockey        |XC Aidan      |XC 10k Huron  |              |XC 12k with   |
|           |              |              |XC Cath       |              |              |              |vince         |
|           |              |              |              |              |              |              |hockey        |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA  7 JA 13|              |              |hockey        |              |              |XC Cath pinks |hockey        |
|           |              |              |              |              |              |              |              |
|           |39:23 7       |49:26   9     |              |              |50:03  9      |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 14 JA 20|              |              |hockey        |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |              |              |46:37  9      |32:07   6     |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 21 JA 27|              |              |hockey        |              |              |XC P3 Pinks   |hockey        |
|           |              |              |              |              |              |              |hockey        |
|           |              |XC P3 pinks   |              |              |              |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JA 28 FE 3 |              |              |hockey        |              |              |XC  P3 Pinks  |hockey p3 pink|
|           |              |              |              |              |              |              | hockey       |
|           |8    40:00    | 9  50:51     |              |              |              |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE  4 FE 10|              |              |hockey        |              |              |              |hockey        |
|           |              |              |              |              |XC P3 pinks   |XC P3 champ20 |XC P3 24k     |
|           |8 42:46       |7 39:01       |              |              |7 38:45       |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE 11 FE 17|              |              | hockey       |              |              |hockey@rink   |hockey        |
|           |              |              |              |XC P3 pinks+  |              |XC P3 champ36 |              |
|           |              |              |              |              |              | 2:43         |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE 18 FE 24|              |              |hockey        |              |              |     hockey   |hockey X2     |
|           |              |              |              |XC P3 champ20 |              |XC P3 Champ   |P3 Penguin chm|
|           |8 41:55       |              |              |              |48:38         |36k 2:25      |38k 2:28      |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|FE 25 MA 2 |              |              |hockey        |              |hockey        |              |              |
|           |              |              |              |              |              | hockey       |              |
|           |              |9 48:10       |              |              |              |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA 3  MA 9 |              |              |hockey        |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |              |9 49:18       |              |              |              |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA 10 MA 16|              |              |hockey        |              |              |XC P3 champ14 |XC P3 champ36 |
|           |              |              |              |              |              |              |hockey        |
|           |              |9 47:54       |              |              |              |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA 17 MA 23|              |              |hockey        |              |              |XC P3 Pink 10 |hockey        |
|           |              |              |              |              |              |              |              |
|           |              |              |              |9 48:22       |9.3 48:00     |              |9.3 48:30     |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA 24 MA 30|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |8 41:18       |              |48:00      9  |47:14    8.5  |              | 48:20    9   |45:37      8.5|
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA 31 AP  6|              |              | hockey       |              |              |XC 14k        |              |
|           |              |              |              |              |              |              |              |
|           |44:45   8.5   |              |              |              |46:01 9       |              |50:56   10    |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP 7  AP 13|              |              |hockey        |              |              |              |              |
|           |              |              |              |              |              |              |              |
|           |45:55   9.2m  |39:58 8       |              |54:00  11     |38:52  8      |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP 14 AP 20|              |              |              |              |              |              |              |
|           | pulled calf  |              | calf         |              |              |              |              |
|           |46:48  9.2    |              |39:49  8      |              |              |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP 21 AP 27|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|36         |              |18+18         |              |              |              |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP 28 MY  4|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |6  30:00      |
|50  86     |              |              |              |              |              |50            | pull calf    |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 5  MY 11|              |              |              |weights       |              |              |              |
|           |              |              |              |              |              |              |              |
|176 262    |18+18         |              |18+18         |              |44            |60            |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 12 MY 18|weights       |              |              |weights       |              |              |              |
|           |3 k run       |              |5k 25:58      |3 k 17:57     |              |              |              |
|108 196    |18 18         |18 18         |              |18+18         |40:38  8      |              |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 19 MY 25|              |              |              |              |              |              |              |
|           |              |              |              |              |              |              |              |
|32.4       |              |8.2 39:30     |              |8.2 41:10     |6 30:43       |              |10  50:18     |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 19 MY 25|              |              |              |              |              |              |              |
|           |weights       |              |              |              |              |              |              |
|35.9       |              |9.2 46:12     | 8.2 38:30    |              |9.2   44:55   |              |9.3 46:04     |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 2  JN  8|              |              |              |              |              |              |              |
|33 295     |              |              |              |              |              |              |33            |
|44.6       |46:29   9.2   |              |43:35    9.2  |              |44:52   9.2   |1:03:36 12    |24:25 5       |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 9  JN 15|        192   |          195 |              |              |              |              |              |14
|           |weights       |              |              |              |              |              |              |
|43         |              |48:35    9.2  |1232112321 9.2|52:00 10      |              |              |1:16:52 15    |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 16 JN 22|              |              |Fun Run       | wieghts      |              |              |              |13
|66 361     |              |              |              |              |              |33            | 33           |
|26         |              |              |20:45 5       |              |              |55:48  10.5   |52:24  10.5   |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 23 JN 29|              |              |              |              |              |              |              |12
|           |              |              |              |              |              |              |              |
| 48        |45:55  9.3    |              |46:40  9.5    |43:13 9       |              |46:43 8       |61:08 12      |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 30 JY  6|              |              |              |              |              |              |              |11
|           |              |              |              |              |              |              |              |
|47         |50:43 10      |              | 53:43 10     |              |73:15  15     |              |62:40 12      |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN  7 JY 13|              |              |              |              |              |              |              |10
|64 359     |              | 32k          |              | 32k          |              |              |              |
|72         |              | 60:39 12     | 60:36 12     |60:04 12      | 60:00 12     | 60:01        |62:20 12      |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JY 14 JY 20|              |              |              |              |              |              |              |9
|           |              |              |              |              |              |              |              |
| 32        |60:00 12      |              |51:14 10      |              |              |49:00 10      |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JY 21 JY 27|              |              |              |              |              |              |              |8
|           |              |              |              |              |              |              |              |
| 43        |              |53:39 10      |              |52:01 10      |              |70:03 14      |50:19 9.3     |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JY 28 AU  3|              |              |              |              |              |              |              |7
|           |              |              |              |              |              |              |              |
|51.8       |45:53 9.2     |46:52 9.2     |44:37 9.2     |              |41:56  9.2    |              |81:21 15      |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU  4 AU 10|              |              |194           |              |              | MTB          |              |6
|           |              |              |              |              |              |              |              |
|45         |              | 42:26   9    |46:52  9.2    |41:07 9       |              |90:00 17.5    |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 11 AU 17|              |              |              |              |              |              |              |5
|           |              |      fartl   |              |              |              |              |              |
|45         |46:37 9.2     |43:00   9.2   |44:37 9.2     |              |              |91:30 17.5    |              |
|---2008----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 18 AU 24|              |              |              |              |              |              |              |4
