----------------------------------------------------------------------------------------------------------------------
|1991       | Monday       | Tuesday      | Wednesday    | Thursday     | Friday       | Saturday     | Sunday       |
|MA16 - MA22|           2.7|              |         2.85k|           2.0|              |              |80s        3.0|
|10.5 k s   |              |              |              |              |              |              |              |
|68.8 k r   |34:27       8 |50:56     11.8|33:29       8 |              |52:03      12 |39:42       10|1:23:10     19|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA23 - MA29|              |              |              |              |              |              |              |
|8 k s      |60 s      3.0 |              | 50 s     2.0 |              |              |              |90 s       3  |
|87 k r     |33:28      8  |1:32:15    21 |35:32      8  |49:40     12  | 24:52      6 | 42:26      10|1:35:22    22 |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MA30 - AP05|              |              |              |              |              |              |              |
|9.7  k s   |          2.3 |              |           2.0|           2.4|              |              |90s        3.0|
|47   k b   |56:11b    23.5|              |              |              |55b       23.5|              |              |
|91.5 k r   |33:24      8  |1:55:00    26 |36:45        9|32:28        8|              |2:28:33     33|27:48      7.5|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP06 - AP12|              |              |              |              |              |              |              |
|7.5 k s    |              |              |60 s       2.5|60 s         2|              |snow day      |90s           |
|46   k b   |              |              |60 b        23|60 b        23|              |              |              |
|75   k r   |26:38        6|   10k  hills |40:39       10|43:36       10|26:26        6|              |2:30:25     33|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP13 - AP19|              |              |              |              |              |              |              |
|5.1 k s    |           2.5| injured      |          2.6 |              |              |              |              |
|42  k b    |              |              |              |              |              |1:00        15|56          27|
|61  k r    |34:11       8 |              |41:14      10 |              |2:45:27    33 |42:47       10|              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP20 - AP26|              |              |              |              |              |              |              |
|8.4 k s    |              |              |           3.0|           2.4|              |              |90s        3.0|
|62  k b    |              |              |              |              |50 b       24 |              |71 b      38.2|
|91.5k r    |56:17      13 |39:51      10 |59:55     14.5| 39:54      10|34:18       8 |2:44:10     36|              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AP27 - MY 3|              |              |              |              |              |              |              |
|4.2 k s    |           2.2|              |           2.0|           2.0|              |              |70s           |
|76  k b    |46b        26 |              |45          24|              |            24|              |              |
|54.2k r    |32:16       8 |42:38       10|38:18       10|              |17:33        5|46:51       11|44:15     10.2|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY 4 - MY10|shoulder      |              |              |              |              |              |National      |
| 2.1  s    |injured       |              |45s        2.1|              |              |              |    Capital   |
|           |              |              |              |              |              |              |              |
|72.2  r    |40:15       10|31:50        8|29:32      5.5|              |27:34      6.5|              |3:56      42.2|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY11 - MY17|              |              |              |              |              |              |              |
|4.8   s    |              |              |60 s       2.7|60 s       2.1|              |              |              |
|171   b    |60 b       24 |60 b       24 |              |           68 |            55|              |              |
|18    r    |              |              |33:16        8|              |43:22       10|              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY18 - MY24|              |              |              |              |              |              |              |
|10.4 s     |           2.6|              |60 s       2.4|60 s       2.4|              |              |90s        3.0|
|218  b     |              |           26 |           45 |            25|            26|2:18        82|10hills    24 |
|55.1 r     |61:54     14.5|4@1k@3:20 + 3 |29:32      7.4|33:00      1+8|32:43        8|7:50         2|26:25      7.2|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|MY25 - MY31|              |              |              |              |              |              |              |
| 4.4 s     |45s        2.0|              |              |           2.4|              |              |              |
|132  b     |            24|            24|              |           24 |           60 |              |              |
|41.2 r     |39:22       10|30:55        8|8@ 475@1:27 +3|30:55      7.2|39:30       10|37:27        9|              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 1 - JN 7|              |              |              |              |              |              |Rockland      |
| 6.5 s     |45s          2|              |             2|           2.5|              |              |Duathlon      |
| 84  b     |            24|            24|            36|              |           24 |              |(crashed)     |
|34.5 r     |30:55        8|32:53      7.5|49:28       11|34:39        8|              |              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN 8 - JN14|              |              |              |              |              |              |              |
|1.7        |60 s       1.7|              |              |              |              |              |              |
|  85       |            24|              |            61|              |              |              |              |
|45.8 r     |56:00       14|49:32     11.8|43:38       10|40:01       10|              |              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN15 - JN21|              |              |              |              |              |              |              |
|7.3  s     |            .7|            2 |            .7|            .7|           2.7|           2.5|              |
|326        |            60|           70 |            50|            47|              |            57|            42|
|45.5       |40:36       10|              |40:34       10|              |44:00     10.5|36:14        8|28:20        7|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN22 - JN28|              |              |              |              |              |              |Gatineau Tri  |
|4    s     |              |              |              |40:38      2.5|              |              |25:21      1.5|
|160  b     |              |            72|              |           24 |            24|              |74 40 43:16 10|
|40   r     |37:33       10|              |48:52       12|37:52        8|              |              |total  2:25:39|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JN29 - JL 5|              |              |Canada Day 10K|              |              |OAC triathlon |              |
|1.2  s     |              |              |              |              |              |20:20 1.2 39:4|              |
|47   b     |            12|              |              |           13 |              |5 22 28:34 7  |              |
|42.6 r     |28:59      7.5|32:04      7.6|37:39       10|              |30:18      7.5|1:32:08 5c17oa|              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL 6 - JL12|              |              |              |              |              |              |              |
|4.6  s     |              |              |              |              |              |45:05     ~2.8|29         1.8|
|135  b     |              |av37.2    36.5|              |av39.5     54 |              |av36.9    43.5|              |
|43.2 r     |38:01       10|8@ 475@1:26 +3|40:01       10|              |              |32:35        8|33:10      8.2|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL13 - JL19|              |              |              |              |              |              |Nat.Cap.Tri   |
|           |              |              |              |              |              |              |24:02      1.5|
|6.75 s     |             2|              |          2.25|              |              |              |55:13     32.5|
|128  b     |av34        38|              |           24 |av40.5      54|              |              |40:07       10|
|36.25r     |33:34        8|39:40       10|              |33:47     8.25|              |              |2:03:56 3c20oa|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL20 - JL26|              |              |              |              |              |              |              |
| 3.2 s     |              |              |             2|            .5|              |              |           .7 |
|189  b     |              |            24|            24|av41.3      54|              |              |            87|
|34.5 r     |              |37:57       10|35:28      8.5|31:22        8|33:20        8|              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|JL27 - AU02|              |              |              |              |              |              |              |
| 2 k s     |              |              |             2|              |              |              |              |
|97 k b     |            12|              |            36|          49.5|              |              |              |
|33.5 k r   |              |31:57        8|31:53        8|37:55fartl 8.5|39:45fartl   9|              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU 3 - AU 9|Sharbot lake  |              |              |              |              |              |              |
|           |15:07s1k 1:30t|              |              |              |              |              |              |
|6.7  s     |51:43b32k  :29|              |            .7|              |             3|             2|              |
|109  b     |44:30r10k     |              |            45|              |            32|              |              |
|49.6 r     |1:54:06 7c25oa|              |              |hills       10|25:30      6.1|46 hills     8|68:40     15.5|
|-----------|--------------|-----------------------------|--------------|--------------|--------------|--------------|
|AU10 - AU16|              |              |              |              |              |NT SummerGames|              |
|           |              |              |              |              |              | Arboretum    |              |
|48         |              |              |              |            24|            24|              |              |
|33   r     |33:35        8|8@ 475@1:27 +3|              |29:38        8|              |38:43       10|              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU17 - AU23|              |              |              |              |              |              |              |
|.5         |            .5|              |              |              |              |              |              |
|28         |              |              |av34.7      28|              |              |              |              |
|43.5       |31:34        8|              |49:07      12+|31:00        8|              |24:20      5.5|            10|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU24 - AU30|              |              |              |              |              |              |              |
|2          |              |              |              |              |              |              |             2|
|86         |av32        25|              |              |av33        20|              |              |av36        41|
|39         |            10|            10|              |            11|            8 |              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|AU31 - SE 6|              |              |              |              |              |              |              |
|7.5        |           2.5|             1|              |              |              |             2|             2|
|226        |            22|av32.5      44|              |ints        66|              |av32        94|              |
|35         |41:57     10.5|31:53        8|38:27      9.5|              |31:30       8 |              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE 7 - SE13|              |              |              |              |              |   The Worlds |              |
|           |              |              |              |              |              |24:23 1.5s4:19|              |
|1.5        |              |              |              |              |              |68:44 40 b:30t|              |
|66         |              |              |              |              |            26|42:30 10 r    |              |
|42         |39:10       10|              |6x475 1:26   6|              |16:00        4| 2:20:57 total|64:00       12|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE14 - SE20|              |              |              |184        7.5|188        5.5|OAC relay     |              |
|6.6        |           2.2|              |           2.2|           2.2|              |              |              |
|           |              |              |              |              |              |              |              |
|41         |31:01        8|8x400on75sec 8|41:50       11|              |26:34        7|18:15     5+ 2|              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE21 - SE27|190           |184           |timed 1500+300|              |              |              |              |
|6          |           2.2|              |      24:09   |             2|              |              |              |
|24         |              |              |              |              |            24|              |              |
|64.7       |37:15       10|6x800 1   ec 9|36:53      9.2|49:54       12|37:13        9|29:03        7|37:41      8.5|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|SE28 - OC 4|190           |              |              |              |              |              |186           |
|6.3  k s   |             2|              |             2|           2.3|              |              |              |
|           |              |              |              |BNR funrun    |              |              |              |
|35.5 k r   |34:17        8|              |              |37:04       10|29:53      7.5|42:37       10|              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC 5 - OC11|              |              |              |              |              |Beat Beethoven|              |
|5.9        |           1.8|              |           1.6|           2.5|              |              |              |
|           |              |1.6,1.2,8,8,  |              |              |              |              |              |
|50   k r   |31:33        8|4,4 600pts   7|40:15       10|32:20        8|              |29:43        8|37:36        9|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC12 - OC18|              |              |              |              |              |              |              |
|6.6  k s   |              |              |             2|              |           2.3|              |          2.3 |
|45   k r   |              |45:20       11|36:56        9|37:08      9.5|              |              |62:16     15.5|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC19 - OC25|              |              |              |timed 1500+1.2|              |              |General Hosp. |
|7.4        |           2.1|              |           2.6|      23:40   |              |              |rattlemebones |
|37.5       |              |39:36      9.5|31:11        8|42:09       10|              |              |38:22       10|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|OC26 - NO 1|              |              |              |              |              |              |              |
|11.3 k s   |           2.6|              |           2.3|           2.5|              |              |           3.9|
|43  k r    |41:56       10|54:56       13|50:12     11.8|              |33:39      8.2|              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 2 - NO 8|              |              |              |              |              |              |              |
|10.3       |           2.0|              |           2.2|           2.4|              |              |           3.7|
|25         |              |37:31        8|              |41:17       10|              |              |30:18        7|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO 9 - NO15|              |              |              |              |              |              |              |
|8.8        |           2.4|              |           2.2|           2.0|              |              |           2.2|
|46.5       |33:55        8|39:23       10|              |35.36      8.5|57:38       13|              |28:08        7|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO16 - NO22|              |100su50pu     |150su50pu     |           190|50su          |              |100su50pu+    |
|10.4 k s   |           2.6|              |           2.0|           2.8|              |              |             3|
|42.5       |31:52        8|              |32:56        8|31:00        7|50:28       12|              |31:48      7.5|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO23 - NO29|              |200su75pu     |              |              |200su 75pu +  |              |200su100pu +  |
|6.9        |              |              |           2.4|           1.8|              |              |           2.7|
|48  k r    |              |31:51        8|40:59       10|              |28:36        7|54:55      13 |41:55       10|
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|NO30 - DE 6|              |200su80pu     |          189 |              |              |              |              |
|5.1        |           2.7|              |           2.4|              |              |              |              |
|30         |              |52:09       12|33:25        8|40:11       10|              |              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE 7 - DE13|              |200su90pu     |              |              |              |              |              |
|9.7        |           2.5|              |           2.4|neck injury1.8|              |              |           3  |
|19.5       |              |54:00       12|              |              |              |32:39      7.5|              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE14 - DE20|              |              |timed 1500    |              |              |              |              |
|7.5        |           2.5|              |24:18    +500 |              |              |              |             3|
|25.5       |              |30:29      7.5|31:30        8|              |39:26       10|              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|DE21 - DE27|              |              |              |              |              |              |              |
|2.6        |           2.6|              |              |              |              |              |              |
|34         |31:06        8|54:03      12 |              |              |1:03        14|              |              |
|---1992----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|


1992 Totals     Run - 2509   Bike - 2656  Swim - 308.95
